BB,NN,NN,NN,VV,KK('Fune'),MM,NN,MM,NN,MB,NN,NN,OO,NN
VV,NN,VV,MM,VV,NN,MM,NN,MM,MM,VV,VV,VV,VV,NN
NN,NN,VV,MM,VV,NN,MM,NN,NN,NN,VV,KK('Chiave'),CC,VV,NN
NN,VV,VV,VV,VV,NN,MM,MM,MM,MM,VV,NN,VV,VV,MM
MM,MB,FF,CC,VV,VV,NN,NN,NN,NN,VV,MM,VV,VV,NN
NN,VV,NN,VV,BB,VV,NN,NN,NN,NN,VV,NN,NN,NN,NN
OO,VV,NN,NN,NN,VV,NN,NN,NN,NN,VV,VV,VV,VV,NN
MM,VV,VV,MM,VV,VV,VV,VV,NN,NN,VV,VV,VV,VV,NN
NN,NN,VV,MM,VV,ZZ,PP('Porta'),PP('Crepaccio'),NN,NN,VV,ZZ,NN,VV,NN
VV,NN,NN,NN,MB,CC,VV,VV,NN,NN,VV,VV,NN,VV,OO
VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,NN,VV,MM
NN,OO,PP('Porta'),NN,VV,VV,VV,KK('Dinamite'),VV,NN,MM,PP('Roccia'),NN,VV,NN
NN,VV,VV,NN,MM,NN,NN,NN,VV,NN,VV,VV,NN,VV,NN
MM,VV,VV,VV,VV,VV,VV,NN,VV,NN,VV,VV,NN,VV,NN
KK('Chiave'),MM,MM,NN,II,VV,MM,NN,MM,NN,VV,VV,NN,MM,NN
